StudyID,NCTNumber,StudyTitle,FirstAuthor,PublicationYear,StartYear,CompletionYear,StudyDuration,Country,Settings,Settings Category,Phase,Phase Category,PopulationsStudied,Population Category,Conditions,Condition Category,VaccineName,Vaccine Name Category,VaccineType,Types of Vaccines Category,Outcome,Vaccine Outcomes Category,SampleSize,Sex,PercentageFemale,LossToFollow-up,MainResults,Significance Category,MainLimitations,Main Limitations Category,Manufacturer Type,Cleaned Manufacturer Type,Manufacturer Category,Source of Funding,Cleaned Funding Source,Funding Category,StudyStatus,Sponsor,Sponsor Category,Collaborators,Collaborator Category,CountryCount,SampleSizeCategory
2390.0,NCT02109484,Safety and immunogenicity of a parenteral P2-VP8-P[8] subunit rotavirus vaccine in toddlers and infants in South Africa: a randomised double-blind placebo-controlled trial,Michelle J Groome,2017.0,,,,South Africa,A single research unit based at a hospital in South Africa,Hospitals  Health Centers  and Clinics,Phase 1/2,Early Phase Trials,Healthy HIV-uninfected toddlers (aged 2 to <3 years) and term infants (aged 6 to <8 weeks without previous rotavirus vaccination),Neonates and Infants,Rotavirus  ,Viral,Parenteral P2-VP8-P[8] subunit rotavirus vaccine,Rotavirus,Parenteral subunit rotavirus vaccine,Live attenuated,IgA and IgG seroresponses,Other,90.0,,,,High seroresponses in IgA and IgG,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Small
2416.0,NCT02286895,Evaluation of a Booster Dose of Pentavalent Rotavirus Vaccine Coadministered With Measles Yellow Fever and Meningitis A Vaccines in 9-Month-Old Malian Infants,Fadima C. Haidara,2018.0,2014.0,2014.0,1.0,Mali,Bamako,Miscellaneous and Non-Specific Locations,,Not Reported,Infants aged 9-11 months,Neonates and Infants,Rotavirus  ,Viral,Pentavalent rotavirus vaccine (PRV),Rotavirus,Pentavalent rotavirus vaccine,Live attenuated,Seroconversion and seroresponse rates to MV,Immunogenicity,600.0,,,,PRV did not interfere with MV and MenAV,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,PATH and the Bill and Melinda Gates Foundation,Path And The Bill And Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Medium
2417.0,NCT03964012,Meningococcal ACWYX Conjugate Vaccine in 2-to-29-Year-Olds in Mali and Gambia,F.C. Haidara,2023.0,,,,Mali | Gambia,,Not Reported,Phase 3,Late Phase Trials,Healthy individuals aged 2 to 29 years,General Population,Meningitis  ,Bacterial,NmCV-5,Meningitis,Meningococcal ACWYX Conjugate Vaccine,Other,Seroresponse for meningococcal serogroups A,Other,1800.0,,,,Immunologic non-inferiority of NmCV-5 compared with MenACWY-D,Non-Inferior,,Not Reported,,Not Reported,Not Reported,U.K. Foreign Commonwealth and Development Office and others,U,Other,Completed  Published,,,,,2.0,Large
2449.0,NCT01486355,Effect of early measles vaccine on pneumococcal colonization: A randomized trial from Guinea-Bissau,Nadja Skadkær Hansen,2017.0,2013.0,2014.0,2.0,Guinea-Bissau,Guinea-Bissau,Miscellaneous and Non-Specific Locations,,Not Reported,Infants aged 18 weeks,Neonates and Infants,Pneumococcal disease  ,Bacterial,Measles vaccine (MV),Measles,Measles vaccine,Live attenuated,Pneumococcal colonization prevalence and density,Other,512.0,,,,Early MV at 18 weeks had no measurable effect on pneumococcal colonization prevalence or density,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,Danish Council for Independent Research,Danish Council For Independent Research,Government,Completed  Published,,,,,1.0,Medium
2452.0,,Efficacy safety and immunogenicity of a booster regimen of Ad26.COV2.S vaccine against COVID-19 (ENSEMBLE2): results of a randomised double-blind placebo-controlled phase 3 trial,Karin Hardt,2022.0,,,,South Africa,,Not Reported,Phase 3,Late Phase Trials,,Not Reported,SARS-CoV-2/COVID-19 ,Viral,Ad26.COV2.S vaccine (Janssen),COVID-19,,Not Reported,Efficacy against moderate to severe-critical COVID-19,Efficacy,31.0,,,,Vaccine efficacy of 75.2% against moderate to severe-critical COVID-19,Significant,,Not Reported,,Not Reported,Not Reported,Janssen Research & Development,Janssen Research & Development,Industry,Completed  Published,,,,,1.0,Small
2478.0,PACTR201503001057193,Efficacy and effectiveness of an rVSV-vectored vaccine in preventing Ebola virus disease: final results from the Guinea ring vaccination open-label cluster-randomised trial (Ebola Ça Suffit!),Ana Maria Henao-Restrepo,2016.0,,,,Guinea | Sierra Leone,Communities of Conakry and eight surrounding prefectures in the Basse-Guinee region of Guinea and in Tomkolili and Bombali in Sierra Leone,Miscellaneous and Non-Specific Locations,,Not Reported,Contacts and contacts of contacts of recently confirmed cases of Ebola virus disease,Other,Ebola  ,Viral,rVSV-ZEBOV,Ebola,rVSV-vectored vaccine,Other,Prevention of laboratory confirmed Ebola virus disease with onset 10 days or more from randomisation,Efficacy,4539.0,,,,Estimated vaccine efficacy was 100% (95% CI 79.3-100.0); vaccination protected both vaccinated and unvaccinated people in clusters,Significant,,Not Reported,,Not Reported,Not Reported,WHO,Who,Philanthropic,Completed  Published,,,,,2.0,Large
2508.0,NCT02997969,Phase 1 Human Immunodeficiency Virus (HIV) Vaccine Trial to Evaluate the Safety and Immunogenicity of HIV Subtype C DNA and MF59-Adjuvanted Subtype C Envelope Protein,Mina C. Hosseinipour,2021.0,2016.0,2017.0,2.0,Zambia,,Not Reported,Phase 1,Early Phase Trials,Healthy HIV-uninfected low-risk adults,Adults,HIV,Viral,HIV Vaccine,Other,HIV Subtype C DNA and MF59-Adjuvanted Subtype C Envelope Protein,Subunit/Protein,Safety and Immunogenicity,Immunogenicity,132.0,,,93.0,All vaccinations were safe and well tolerated,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,NIAID NIH,Niaid Nih,Government,Completed  Published,,,,,1.0,Medium
2530.0,NCT01049282,A phase I open-label trial on the safety and immunogenicity of the adjuvanted tuberculosis subunit vaccine H1/IC31® in people living in a TB-endemic area,Jemal Hussein,2018.0,2008.0,2010.0,3.0,Ethiopia,,Not Reported,Phase 1,Early Phase Trials,Healthy male participants aged 18-25 years,General Population,Tuberculosis       ,Bacterial,H1/IC31®,Other,Tuberculosis subunit vaccine,Subunit/Protein,Safety and immunogenicity,Immunogenicity,1.0,,,,The H1/IC31® vaccine was safe and generally well tolerated with a tendency towards a higher incidence of adverse events in Mtb-infected compared to Mtb-naïve participants,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,European and Developing Countries Clinical Trials Partnership (EDCTP),European And Developing Countries Clinical Trials Partnership,Government,Completed  Published,,,,,1.0,Small
2567.0,NCT02145000,Immunogenicity of an oral rotavirus vaccine administered with prenatal nutritional support in Niger: A cluster randomized clinical trial,Sheila Isanaka,2021.0,2015.0,2017.0,3.0,Niger,Villages in Niger,Community-Based Settings,Phase 3,Late Phase Trials,Infants of pregnant women receiving prenatal nutritional supplements,Neonates and Infants,Rotavirus ,Viral,Rotasiil,Other,Live oral rotavirus vaccine,Live attenuated,Immunogenicity measured by anti-rotavirus immunoglobulin A (IgA) seroconversion,Immunogenicity,1525.0,Both Genders,50.0,,Seroresponse to the vaccine did not differ significantly by supplementation group; Overall,Significant,Study conducted in a high rotavirus transmission setting; the absence of an immune correlate of protection for rotavirus vaccines makes implications of using serum anti-rotavirus IgA for assessment of immunogenicity and efficacy in low-income countries unclear,Other,Serum Institute of India Pvt Limited,Serum Institute Of India Pvt Limited,Pharmaceutical,Medecins Sans Frontieres (MSF)-Operational Center Geneva and the Kavli Foundation Norway,Medecins Sans Frontieres,Philanthropic,Completed  Published,,,,,1.0,Large
2569.0,NCT02145000,Efficacy of a Low-Cost Heat-Stable Oral Rotavirus Vaccine in Niger,Sheila Isanaka,2017.0,2014.0,2015.0,2.0,Niger,Maradi,Miscellaneous and Non-Specific Locations,Phase 3,Late Phase Trials,Healthy infants in Niger,Neonates and Infants,Rotavirus  ,Viral,BRV-PV Serum Institute of India,Rotavirus,Live oral bovine rotavirus pentavalent vaccine,Live attenuated,Efficacy against severe rotavirus gastroenteritis,Efficacy,4092.0,,,,Per-protocol vaccine efficacy of 66.7% against severe rotavirus gastroenteritis; intention-to-treat vaccine efficacy of 69.1%,Significant,The vaccine was not consistently given concomitantly with the oral polio vaccine; Vesikari score used for severity assessment may have led to underscoring in some cases due to low parental literacy; limited genotyping data and time period for efficacy analysis,Other,Serum Institute of India,Serum Institute Of India,Pharmaceutical,Medecins sans Frontieres Operational Center and the Kavli Foundation,Medecins Sans Frontieres Operational Center And The Kavli Foundation,Philanthropic,Completed  Published,,,,,1.0,Large
2570.0,NCT02145000,Rotavirus vaccine efficacy up to 2 years of age and against diverse circulating rotavirus strains in Niger: Extended follow-up of a randomized controlled trial,Sheila Isanaka,2021.0,2014.0,2015.0,2.0,Niger,Madarounfa,Miscellaneous and Non-Specific Locations,Phase 3,Late Phase Trials,Healthy infants,Neonates and Infants,Rotavirus  ,Viral,Rotasiil,Other,Live attenuated bovine-human (UK) reassortant rotavirus vaccine containing rotavirus serotypes G1,Live attenuated,Efficacy against SRVGE up to 2 years of age,Efficacy,4091.0,,,,Per-protocol vaccine efficacy against SRVGE of 60.3% in the first year of life and 54.7% during the entire follow-up period up to 2 years of age; no significant protection against rotavirus gastroenteritis of any severity or gastroenteritis of any cause in any follow-up period,Significant,Limited generalizability to settings with administration of oral polio virus due to low concomitant administration,Other,Serum Institute of India Pvt Limited,Serum Institute Of India Pvt Limited,Pharmaceutical,Medecins Sans Frontieres-Operational Center Geneva and the Kavli Foundation Norway,Medecins Sans Frontieres,Philanthropic,Completed  Published,,,,,1.0,Large
2576.0,,Asymptomatic Malaria Infection and the Immune Response to the 2-Dose Ad26.ZEBOV MVA-BN-Filo Ebola Vaccine Regimen in Adults and Children,D. Ishola,2022.0,2015.0,2018.0,4.0,Sierra Leone,Kambia District,Miscellaneous and Non-Specific Locations,,Not Reported,400 adults (aged >18 years) and 576 children (aged 1 year or older),Children and Adolescents,Malaria | Ebola,Viral,Ad26.ZEBOV MVA-BN-Filo,Ebola,Ebola vaccine,Other,Immune response measured by EBOV GP-specific antibody concentrations,Other,587.0,,,,Lower antibody concentrations were observed post-dose 1 in young children with asymptomatic malaria compared to aparasitemic children; no significant differences in older children and adults. No meaningful impact on immunogenicity of the vaccine regimen due to asymptomatic malaria infection.,Significant,Study did not include children under 1 year,Other,,Not Reported,Not Reported,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
2577.0,NCT02509494,Safety and long-term immunogenicity of the two-dose heterologous Ad26.ZEBOV and MVA-BN-Filo Ebola vaccine regimen in adults in Sierra Leone,David Ishola,2022.0,,,,Sierra Leone,Kambia district,Miscellaneous and Non-Specific Locations,,Not Reported,Healthy adults aged ≥18 years residing in or near Kambia district,Adults,Ebola ,Viral,Ad26.ZEBOV and MVA-BN-Filo,Ebola,Ebola vaccine regimen,Other,Safety and immunogenicity,Immunogenicity,443.0,,,,Both vaccine regimens were well tolerated with no safety concerns. In stage 1,Inconclusive or Mixed Results,,Not Reported,Janssen Vaccines & Prevention BV and Bavarian Nordic,Janssen Vaccines & Prevention Bv And Bavarian Nordic,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
2629.0,,Seasonal variation in the non-specific effects of BCG vaccination on neonatal mortality: three randomised controlled trials in Guinea-Bissau,Kristoffer Jarlov Jensen,2020.0,2002.0,2013.0,12.0,Guinea-Bissau,Urban Bissau,Community-Based Settings,,Not Reported,Infants weighing less than 2500 g at the time of assessment without major malformations who were not overtly sick and had not received BCG,Neonates and Infants,Tuberculosis,Bacterial,BCG vaccine SSI (also known as BCG-Denmark strain 1331),Tuberculosis,BCG vaccine,Live attenuated,38% reduction in all-cause neonatal mortality,Secondary Disease,6500.0,,,,Protective effect of BCG on neonatal mortality was particularly observed when administered in November to January,Inconclusive or Mixed Results,,Not Reported,Statens Serum Institut (SSI) Copenhagen Denmark,Statens Serum Institut Copenhagen Denmark,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Large
2650.0,NCT02613520,Safety and Differential Antibody and T-Cell Responses to the Plasmodium falciparum Sporozoite Malaria Vaccine PfSPZ Vaccine by Age in Tanzanian Adults Adolescents Children and Infants,Said A. Jongo,2019.0,2015.0,2017.0,3.0,Tanzania,Bagamoyo,Miscellaneous and Non-Specific Locations,,Not Reported,Healthy male and female volunteers aged 6 months to 45 years,General Population,Malaria  ,Parasitic,PfSPZ Vaccine,Malaria,Plasmodium falciparum Sporozoite Malaria Vaccine,Other,Safety,Safety,105.0,,,,The vaccine was well tolerated and safe with no significant differences in adverse events between vaccinees and controls or between dosage regimens. Median antibody responses were highest in infants and lowest in adults. T-cell responses were highest in 6-10-year-olds after one dose and 1-5-year-olds after three doses. Infants had no significant positive T-cell responses.,Significant,,Not Reported,Sanaria®,Sanaria®,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
2652.0,NCT02132299,Safety Immunogenicity and Protective Efficacy against Controlled Human Malaria Infection of Plasmodium falciparum Sporozoite Vaccine in Tanzanian Adults,Said A. Jongo,2018.0,2014.0,2015.0,2.0,Tanzania,Bagamoyo Research and Training Centre,Miscellaneous and Non-Specific Locations, ,Other,Healthy male volunteers aged 18-35 years,General Population,Malaria ,Parasitic,Plasmodium falciparum Sporozoite (PfSPZ) Vaccine,Malaria, beyond PfSPZ Vaccine,Other,Safety,Safety,57.0,Male only,0.0,,20% of recipients of five doses of PfSPZ did not become infected after CHMI,Inconclusive or Mixed Results,Lower immunogenicity and protective efficacy in Tanzanian men compared to U.S. volunteers,Other,Sanaria Inc.,Sanaria Inc.,Pharmaceutical, ,,Other,Completed  Published,,,,,1.0,Small
2653.0,NCT02859350,Safety and Immunogenicity of Radiation-Attenuated PfSPZ Vaccine in Equatoguinean Infants,Said A. Jongo,2023.0,,,,Equatorial Guinea,Single-center in Baney,Miscellaneous and Non-Specific Locations, ,Other,Male and female participants aged 6 months to 65 years,General Population,Malaria  ,Parasitic,Radiation-Attenuated PfSPZ Vaccine,Malaria,Radiation-Attenuated Plasmodium falciparum Sporozoites Vaccine,Other,Safety,Safety,,,,,PfSPZ Vaccine was well tolerated with no significant differences in adverse events (AEs) between vaccine and NS groups; higher antibody responses in younger age groups,Significant, ,Other,Sanaria Inc.,Sanaria Inc.,Pharmaceutical, ,,Other,Completed  Published,,,,,1.0,Unknown
2655.0,,Immunogenicity and Protective Efficacy of Radiation-Attenuated and Chemo-Attenuated PfSPZ Vaccines in Equatoguinean Adults,Said A. Jongo,2021.0,2016.0,2018.0,3.0,Equatorial Guinea,Baney,Miscellaneous and Non-Specific Locations,,Not Reported,Adults aged 18-35 years,Adults,Malaria       ,Parasitic,PfSPZ Vaccine and PfSPZ-CVac,Malaria,Radiation-attenuated and chemo-attenuated,Other,Vaccine Efficacy (VE) against homologous controlled human malaria infection (CHMI),Efficacy,,,,,VE of 55% for PfSPZ-CVac and 27% for PfSPZ Vaccine against homologous CHMI,Inconclusive or Mixed Results,Serious AEs that led to halting of the trial,Other,Sanaria Inc.,Sanaria Inc.,Pharmaceutical,Public-private partnership (EGMVI),Public,Other,Completed  Published,,,,,1.0,Unknown
2660.0,NCT02991495,Immunogenicity and safety of fractional doses of yellow fever vaccines: a randomised double-blind non-inferiority trial,Aitana Juan-Giner,2021.0,,,,Uganda,Research centres in Mbarara,Miscellaneous and Non-Specific Locations,,Not Reported,Adults aged 18-59 years,Adults,Yellow fever  ,Viral,Bio-Manguinhos-Fiocruz,Other,Yellow fever vaccines (17D and 17DD substrains),Live attenuated,Seroconversion rates,Immunogenicity,960.0,Both Genders,55.1,,Fractional doses were non-inferior to standard doses in inducing seroconversion. Seroconversion rates and GMT remained high up to 1 year after vaccination for both fractional and standard doses for all vaccines,Non-Inferior,Study was not powered to assess non-inferiority at 10 days post-vaccination,Other,Bio-Manguinhos-Fiocruz,Bio-Manguinhos-Fiocruz,Government,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
2662.0,NCT02991495,Immunogenicity and safety of fractional doses of 17D-213 yellow fever vaccine in children (YEFE): a randomised double-blind non-inferiority substudy of a phase 4 trial,Aitana Juan-Giner,2023.0,,,,Uganda,Epicentre Mbarara Research Centre,Miscellaneous and Non-Specific Locations,Phase 4,Post-Marketing Trials,Children aged 9-59 months,Children and Adolescents,Yellow fever  ,Viral,17D-213 yellow fever vaccine manufactured by the Chumakov Institute of Poliomyelitis and Viral Encephalitides,Typhoid,Live attenuated yellow fever virus vaccine,Live attenuated,Seroconversion and geometric mean titres (GMT) of neutralising antibodies,Immunogenicity,420.0,,,,Fractional doses were non-inferior to standard doses in inducing seroconversion in children at 28 days after vaccination. Seroconversion rates at 10 days were lower in the fractional dose group,Non-Inferior,Study limited to assessment of neutralising antibodies against yellow fever,Other,Federal State Unitary Enterprise of Chumakov Institute of Poliomyelitis and Viral Encephalitides,Federal State Unitary Enterprise Of Chumakov Institute Of Poliomyelitis And Viral Encephalitides,Government,Medecins Sans Frontieres Foundation,Medecins Sans Frontieres Foundation,Philanthropic,Completed  Published,,,,,1.0,Medium
2711.0,NCT02739763,Safety and PCR monitoring in 161 semi-immune Kenyan adults following controlled human malaria infection,Melissa C. Kapulu,2021.0,,,,Kenya,Centre for Geographic Medicine Research Coast,Miscellaneous and Non-Specific Locations,,Not Reported,Semi-immune Kenyan adults,Adults,Malaria        ,Parasitic,Not applicable (study on malaria infection,Other,Not applicable (study on malaria infection,Other,Not applicable (study on malaria infection,Other,161.0,,,,CHMI was well tolerated with no severe or serious adverse events. Variability in malaria exposure influenced outcomes,Inconclusive or Mixed Results,Volunteers with lumefantrine concentrations above the MIC and those with high pyrimethamine and sulfadoxine concentrations were excluded from the qPCR outcome analysis,Other,Sanaria Inc.,Sanaria Inc.,Pharmaceutical,Wellcome Trust,Wellcome Trust,Philanthropic,Completed  Published,,,,,1.0,Medium
2772.0,NCT02344407,Phase 2 Placebo-Controlled Trial of Two Vaccines to Prevent Ebola in Liberia,,2017.0,,,,Liberia,Vaccination center at Redemption Hospital in Monrovia,Hospitals  Health Centers  and Clinics,Phase 2,Mid-Phase Trials,Adults (18 years or older),Adults,Ebola  ,Viral,ChAd3-EBO-Z and rVSV∆G-ZEBOV-GP,Ebola,Chimpanzee adenovirus 3 vaccine and recombinant vesicular stomatitis virus vaccine,Viral vector,Antibody responses to EBOV glycoprotein,Immunogenicity,1500.0,Both Genders,36.6,,By 1 month after injection,Inconclusive or Mixed Results,,Not Reported,GlaxoSmithKline (ChAd3-EBO-Z),Glaxosmithkline,Pharmaceutical,National Institutes of Allergy and Infectious Diseases and the Liberian Ministry of Health,National Institutes Of Allergy And Infectious Diseases And The Liberian Ministry Of Health,Multiple/Other,Completed  Published,,,,,1.0,Large
2786.0,NCT04838795,Immunogenicity of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection and Ad26.CoV2.S Vaccination in People Living With Human Immunodeficiency Virus (HIV),Khadija Khan,2022.0,,,,South Africa,Healthcare settings in South Africa,Hospitals  Health Centers  and Clinics,,Not Reported,Healthcare workers (HCWs) with well-controlled HIV infection,Healthcare Workers,SARS-CoV-2/COVID-19| HIV,Viral,Ad26.CoV2.S,COVID-19,,Not Reported,Neutralizing activity against the Delta variant in PLWH relative to HIV-negative individuals; effects of HIV status and suppression on Delta neutralization response in SARS-CoV-2-infected unvaccinated participants,Other,,,,,Ad26.CoV2.S vaccination elicited a strong neutralization response against the Delta variant in PLWH with well-controlled HIV,Inconclusive or Mixed Results,The study did not examine the T-cell response or the effect of HIV viremia and low CD4 count on vaccine-mediated neutralization; limited number of vaccinated participants without previous SARS-CoV-2 infection,Other,,Not Reported,Not Reported,South African Medical Research Council,South African Medical Research Council,Government,Completed  Published,,,,,1.0,Unknown
2818.0,NCT02991495,Immunogenicity and safety of fractional doses of 17D-213 yellow fever vaccine in HIV-infected people in Kenya (YEFE): a randomised double-blind non-inferiority substudy of a phase 4 trial,Derick Kimathi,2023.0,,,,Kenya,Comprehensive care centres in Mtwapa and Malindi,Miscellaneous and Non-Specific Locations,Phase 4,Post-Marketing Trials,HIV-positive participants aged 18-59 years,People with Specific Conditions,Yellow fever,Viral,17D-213 yellow fever vaccine,Other,Yellow fever vaccine,Live attenuated,The primary outcome was the proportion of participants who seroconverted by 28 days after vaccination for the fractional dose compared with the standard dose. Secondary outcomes included geometric mean titres (GMTs) and geometric mean fold increase (GMFI) and their ratios relative to baseline and assessment of adverse events.,Safety,250.0,,,9.0,Fractional doses of the 17D-213 yellow fever vaccine were immunogenically non-inferior to the standard dose in HIV-infected individuals at 28 days after vaccination. This non-inferiority was maintained at long-term follow-up. The most common adverse events were mild or moderate and self-limiting.,Non-Inferior,The study did not assess individuals with CD4+ T-cell counts of less than 200 cells per mL,Other,Chumakov Institute of Poliomyelitis and Viral Encephalitidis,Chumakov Institute Of Poliomyelitis And Viral Encephalitidis,Government,Wellcome Trust,Wellcome Trust,Philanthropic,Completed  Published,,,,,1.0,Medium
2852.0,NCT02817451,Immunogenicity and safety of a hexavalent pediatric vaccine in HIV-exposed infected and uninfected infants in Republic of South Africa,Anthonet Koen,2021.0,2016.0,2019.0,4.0,South Africa,Single center in the Republic of South Africa,Miscellaneous and Non-Specific Locations,Phase 3,Late Phase Trials,HIV-exposed infected (Group A: N = 14) and HIV-exposed uninfected (Group B: N = 50) infants,Neonates and Infants,Vaccine-preventable diseases,Other,DTaP-IPV-HB-PRP~T vaccine,Polio,Hexavalent pediatric vaccine containing diphtheria,Other,Primary series antibody persistence and booster response; measured using validated assays,Other,64.0,,,,Primary series and booster vaccination were immunogenic and safe in HIV-exposed infected and uninfected infants. Strong immune seroprotection rates and good pre-booster antibody persistence were observed. No safety concerns were noted.,Inconclusive or Mixed Results,Low number of HIV-exposed infected participants due to widespread pre- and perinatal retroviral treatment; results should be interpreted with caution,Other,Sanofi Pasteur,Sanofi Pasteur,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Small
2917.0,NCT02404311,Safety and immune responses after a 12-month booster in healthy HIV-uninfected adults in HVTN 100 in South Africa: A randomized double-blind placebo-controlled trial of ALVAC-HIV (vCP2438) and bivalent subtype C gp120/MF59 vaccines,Fatima Laher,2020.0,,,,South Africa,6 sites in South Africa,Miscellaneous and Non-Specific Locations,Phase 1/2,Early Phase Trials,Healthy HIV-uninfected adults aged 18 to 40,Adults,HIV,Viral,ALVAC-HIV (vCP2438) and MF59-adjuvanted bivalent subtype C gp120,HIV,HIV vaccines,DNA,IgG binding antibody (bAb) responses,Other,252.0,Both Genders,43.0,,The study demonstrated that a 12-month booster of subtype C pox-protein vaccines restored immune responses and slowed response decay compared to the 6-month vaccination. Vaccines were generally safe and well tolerated.,Inconclusive or Mixed Results,Higher doses of gp120 were not evaluated,Other,,Not Reported,Not Reported,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
2940.0,,Safety and Immunogenicity of the Heterologous 2-Dose Ad26.ZEBOV MVA-BN-Filo Vaccine Regimen in Health Care Providers and Frontliners of the Democratic Republic of the Congo,Ynke Lariviere,2023.0,2019.0,2020.0,2.0,DR Congo,Boende,Miscellaneous and Non-Specific Locations,Phase 2,Mid-Phase Trials,699 health care providers and frontliners,Healthcare Workers,Ebola  ,Viral,Ad26.ZEBOV MVA-BN-Filo,Ebola,Heterologous 2-dose vaccine regimen,Other,Immunoglobulin G-binding antibody response to the EBOV glycoprotein,Immunogenicity,699.0,,,,The vaccine regimen was well tolerated with no vaccine-related serious adverse events. 95.2% of participants showed an EBOV glycoprotein-specific binding antibody response 21 days after the second dose,Inconclusive or Mixed Results,The study did not specify the impact of MVA-specific neutralizing antibodies on the EBOV-specific binding antibody response,Other,Janssen Vaccines & Prevention BV,Janssen Vaccines & Prevention Bv,Pharmaceutical,Innovative Medicines Initiative 2 (IMI2) Joint Undertaking,Innovative Medicines Initiative,Philanthropic,Completed  Published,,,,,1.0,Medium
2970.0,NCT02378753,Pregnancy Outcomes among Women Receiving rVSVΔ-ZEBOV-GP Ebola Vaccine during the Sierra Leone Trial to Introduce a Vaccine against Ebola,Jennifer K. Legardy-Williams,2020.0,,,,Sierra Leone,,Not Reported,Phase 2/3,Mid-Phase Trials,Women of reproductive age (18-49 years) in Sierra Leone,Adults,Ebola,Viral,rVSVΔG-ZEBOV-GP,Ebola,Live-attenuated recombinant vesicular stomatitis virus (rVSV) vaccine,Viral vector,Pregnancy outcomes (live birth,Other,84.0,Female only,100.0,,45% pregnancy loss in the immediate vaccination group compared with 33% in the unvaccinated group,Inconclusive or Mixed Results,Small number of pregnancies,Other,,Not Reported,Not Reported,Centers for Disease Control and Prevention,Centers For Disease Control And Prevention,Government,Completed  Published,,,,,1.0,Small
2984.0,NCT00880698,Safety and Immunogenicity of a Live Attenuated Pentavalent Rotavirus Vaccine in HIV-Exposed Infants With or Without HIV Infection in Africa,Myron J Levin,2017.0,2009.0,2013.0,5.0,Botswana,Various clinical sites across four African countries,Hospitals  Health Centers  and Clinics,Phase 2,Mid-Phase Trials,202 infants (126 HEU; 76 HIV+),Neonates and Infants,HIV,Viral,Pentavalent rotavirus vaccine (RV5),Rotavirus,Live attenuated pentavalent rotavirus vaccine,Live attenuated,Safety,Safety,202.0,,,,RV5 was immunogenic in both HIV+ and HEU infants with no significant safety issues. The proportion of anti-rotavirus IgA responders after RV5 administration was 81% in both groups.,Significant,,Not Reported,Merck & Co. Inc.,Merck & Co. Inc.,Pharmaceutical,Merck & Co. Inc.,Merck & Co,Industry,Completed  Published,,,,,1.0,Medium
3031.0,NCT02762851,Influenza vaccine to reduce adverse vascular events in patients with heart failure: a multinational randomised double-blind placebo-controlled trial,Mark Loeb,2022.0,,,,Nigeria | Zambia | Mozambique | Kenya,Mostly hospitals affiliated with universities or research institutes,Hospitals  Health Centers  and Clinics, ,Other,5129 participants with heart failure (New York Heart Association class II,People with Specific Conditions,Heart failure  ,Other,Influenza vaccine,Influenza,Inactivated standard dose influenza vaccine,Inactivated/Killed,Cardiovascular death,Other,5129.0,Both Genders,52.1,,The influenza vaccine group showed a reduction in all-cause hospitalisations and pneumonia but no significant difference in all-cause death,Significant, ,Other, ,,Other,UK Joint Global Health Trials Scheme and Canadian Institutes for Health Research Foundation,Uk Joint Global Health Trials Scheme And Canadian Institutes For Health Research Foundation,Government,Completed  Published,,,,,4.0,Large
3054.0,NCT01479972,Safety and Immunogenicity of the Recombinant Mycobacterium bovis BCG Vaccine VPM1002 in HIV-Unexposed Newborn Infants in South Africa,Andre G. Loxton,2017.0,,,,South Africa,Single-center study in Cape Town,Miscellaneous and Non-Specific Locations,Phase 2,Mid-Phase Trials,Healthy newborn infants born to HIV-negative mothers,Neonates and Infants,Tuberculosis  ,Bacterial,VPM1002,Other,Recombinant Mycobacterium bovis BCG vaccine,Live attenuated,Safety parameters,Safety,48.0,,,,Both VPM1002 and BCG vaccines were safe,Inconclusive or Mixed Results, ,Other,VPM1002 manufactured at Vibalogics GmbH,Vpm1002 Manufactured At Vibalogics Gmbh,Other, ,,Other,Completed  Published,,,,,1.0,Small
